,headline,current_price,clean_fee,service_fee,occupancy_fee,guest,bedroom,beds,baths,enhanced_clean,self_checkin,rating,review_number,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,cancel_policy,cancel_policy_code,location_approx,location_code,type,type_code,amenity_number,free_P_on_property,private_entrance,pets,kitchen,security_camera,co_alarm,scenic_number,host_join_year,host_review,identity_veified,superhost,response_rate,response_time,res_time_code,additional_language
0,C☆zy Studio in Union Square Park,87,40,30,0,2,1,2,1,1,1,4.68,80,4.8,4.7,4.8,4.9,4.9,4.8,48 hours after booking,1,New York,25,entire home,1,21,0,1,0,1,0,1,0,2020,80,1,1,94,within an hour,1,0
1,Stylish Midtown Retreat COVID-19 FREE HOME.,130,48,43,0,4,1,2,1,1,1,4.59,312,4.6,4.7,4.7,4.8,4.6,4.6,48 hours after booking,1,New York,25,entire home,1,22,0,0,0,1,0,1,0,2016,320,1,1,100,within a few hours,2,0
2,Best Quiet Apartment / Union Square,95,40,32,0,3,1,2,1,1,1,4.7,84,4.7,4.8,4.9,4.9,5,4.8,48 hours after booking,1,New York,25,entire home,1,25,0,0,0,1,0,1,0,2020,84,1,0,100,within an hour,1,0
3,Cozy Brooklyn Garden Level Apartment w/ Backyard!,132,73.08,8.67,51.38,2,1,1,1,1,0,5,6,5,5,5,5,5,5,48 hours after booking,1,New York,25,entire home,1,49,0,1,0,1,1,1,0,2009,557,1,0,100,within an hour,1,0
4,Spacious 2 Bedroom Steps from Times Sq.,122,58.33,32,38.88,5,2,2,1,1,1,4.47,118,4.3,4.5,4.7,4.9,4.7,4.6,1 day before check in,5,New York,25,entire home,1,31,0,0,1,1,0,1,0,2020,118,1,0,100,within an hour,1,0
5,Gramercy park Apartment (2beds),88,80.08,66,36.75,3,1,2,1,0,1,4.72,47,4.6,4.8,4.8,5,4.9,4.7,no free cancel,0,New York,25,entire home,1,25,1,1,0,1,0,1,0,2020,47,1,0,90,within an hour,1,0
6,Chelsea New York Hip Hotel,97,15,30,0,2,1,1,1,1,1,4.9,21,5,5,4.9,5,5,5,1 day before check in,5,New York,25,room,2,30,0,1,0,0,1,1,0,2021,220,1,1,99,within an hour,1,0
7,NYC Skyline from the Center of Times Square,164,0,0,55,2,1,1,1,0,1,4.36,28,4.4,4.3,4.4,4.7,4.6,4.3,no free cancel,0,New York,25,room,2,21,0,0,0,0,1,1,0,2021,66,1,0,95,within an hour,1,0
8,Near Gramercy Park/ Private Entrance,70,35,25,0,2,1,1,1,1,1,4.5,74,4.5,4.5,4.8,4.9,4.9,4.6,30 days before check in,2,New York,25,room,2,18,0,1,0,0,0,1,0,2020,74,1,0,100,within an hour,1,0
9,Brownstone Studio off Central Park!,225,85,76,0,2,1,1,1,1,0,4.91,189,5,4.9,5,5,5,4.8,48 hours after booking,1,New York,25,entire home,1,22,0,0,0,1,0,1,0,2013,189,1,1,100,within an hour,1,0
10,Perfect WFH or Staycation in the LES!,160,53.58,52,40.5,3,1,1,1,1,1,4.88,106,4.8,4.9,5,4.9,4.9,4.8,48 hours after booking,1,New York,25,entire home,1,25,0,0,0,1,0,0,0,2012,113,1,1,100,within an hour,1,2
11,UNTITLED at Freemans - Cozy Studio 910,192,70,64,0,2,1,1,1,1,1,4.71,7,4.9,5,4.9,4.9,4.9,4.4,1 day before check in,5,New York,25,entire home,1,34,0,0,0,0,0,1,0,2017,1484,1,1,100,within an hour,1,0
12,"Clean/Quiet Apt, Great Location, with washer/dryer",124,89,48,0,4,2,2,1,1,1,4.45,348,4.3,4.5,4.5,4.9,4.7,4.5,48 hours after booking,1,New York,25,entire home,1,42,0,0,0,1,0,1,0,2014,348,1,0,100,within an hour,1,0
13,Backyard Studio Apartment in Brooklyn,54,0,15,0,2,1,2,1,1,0,5,6,5,5,4.8,4.8,4.7,5,5 days before check in,4,New York,25,entire home,1,25,0,0,0,1,0,0,0,2021,6,1,0,99,within an hour,1,0
14,Charming studio apartment in Chelsea,187,60,61,0,2,1,1,1,1,0,4.87,38,4.8,5,5,5,5,4.9,1 day before check in,5,New York,25,entire home,1,27,0,0,0,1,1,1,0,2012,55,1,1,100,within an hour,1,0
15,Uptown Chic - Hoboken,90,61.67,53.33,41.88,2,1,1,1,1,0,4.88,269,4.9,4.9,4.9,4.9,4.9,4.9,5 days before check in,4,New York,25,entire home,1,29,0,1,0,1,0,1,0,2016,269,1,1,100,within a few hours,2,0
16,"Large, sunny, private studio Apt 2F",103,55,37,0,2,1,1,1,1,1,4.76,360,4.9,4.9,4.9,4.8,5,4.7,48 hours after booking,1,New York,25,entire home,1,21,0,0,0,0,0,1,0,2015,664,1,1,100,within an hour,1,1
17,3 Beds (Full & Twin x 2) and Private Kitchen,71,45,26,0,3,1,3,1,1,1,4.75,4,5,4.8,4.8,5,5,4.8,30 days before check in,2,New York,25,room,2,24,0,0,0,1,0,1,0,2021,4,1,0,95,within an hour,1,0
18,Sunny Chelsea Oasis,188,125,71,0,3,1,2,1,0,1,4.76,191,4.7,4.8,4.8,5,4.8,4.7,no free cancel,0,New York,25,entire home,1,29,0,0,0,1,0,1,0,2016,191,1,0,100,within an hour,1,0
19,CENTRAL PARK APT - ALL MUSEUMS!!,150,67.42,43.67,42.12,3,1,1,1,1,0,4.9,40,4.9,4.9,4.9,5,4.9,4.9,48 hours after booking,1,New York,25,entire home,1,23,0,1,0,1,0,1,0,2019,40,1,0,100,within an hour,1,0
20,UNTITLED at Freeman-Cozy Studio 906,167,70,57,0,2,1,1,1,1,1,4.93,15,5,4.9,5,4.9,4.9,4.7,48 hours after booking,1,New York,25,entire home,1,33,0,0,0,0,0,1,0,2017,1484,1,1,100,within an hour,1,0
21,FABULOUS PLACE in MIDTOWN/PRIME LOCATION,190,45,60,0,2,1,2,1,1,0,4.85,206,4.8,4.9,4.9,5,4.9,4.8,48 hours after booking,1,New York,25,room,2,22,0,0,0,1,0,1,0,2016,421,1,0,97,within an hour,1,2
22,Studio Apt in Alphabet city/East village,125,39,41,0,2,1,1,1,1,1,5,8,5,5,5,5,5,5,1 day before check in,5,New York,25,entire home,1,43,0,0,1,1,0,1,0,2017,95,1,0,100,within an hour,1,1
23,Elegant Private Studio - Town House,77,35.25,36.33,17.5,2,1,1,1,1,1,4.87,269,4.9,4.9,4.7,4.7,4.8,4.9,48 hours after booking,1,New York,25,room,2,36,0,1,0,1,0,1,0,2015,376,1,0,92,within a day,3,1
24,West Village Style and Charm - Host Vaccinated,135,20,41,0,2,1,1,2,1,0,4.97,243,5,5,5,5,4.9,4.9,5 days before check in,4,New York,25,room,2,46,0,0,1,1,0,1,1,2014,257,1,1,94,within an hour,1,0
25,Private Upper East Side gem near Central Park.,125,99,49,0,2,1,2,1,0,1,4.82,17,4.7,4.8,4.9,4.9,4.5,4.8,no free cancel,0,New York,25,entire home,1,29,0,0,0,1,0,0,0,2013,17,1,0,100,within an hour,1,0
26,The President Studio,123,100,49,0,2,1,1,1,1,1,4.93,27,4.9,5,5,5,5,4.8,48 hours after booking,1,New York,25,entire home,1,39,0,0,0,1,0,1,0,2011,27,1,1,100,within an hour,1,0
27,Bed Stuy Brownstone 1 BR Apartment,112,50,39,0,3,1,2,1,1,0,4.85,46,4.9,5,4.9,4.7,5,4.9,5 days before check in,4,New York,25,entire home,1,26,1,1,0,1,0,1,0,2015,46,1,1,100,within an hour,1,0
28,Cute and Quiet in the Heart of Soho/Nolita,174,129,67,0,2,1,1,1,1,1,4.34,238,4.3,4.4,4.8,4.9,4.7,4.3,48 hours after booking,1,New York,25,entire home,1,30,0,0,0,1,0,1,0,2012,238,1,0,100,within a few hours,2,0
29,Magnificent Location Midtown Studio,135,79,49,0,3,1,2,1,1,1,4.89,53,4.9,4.9,4.9,4.9,4.9,4.7,48 hours after booking,1,New York,25,entire home,1,36,0,1,0,1,1,1,0,2020,771,1,1,100,within an hour,1,0
30,Beautiful one bedroom Apt in the heart of Soho.,181,95,64,0,2,1,1,1,1,1,4.65,55,4.5,4.8,4.9,4.9,5,4.7,5 days before check in,4,New York,25,entire home,1,24,0,0,1,1,0,0,0,2019,55,1,1,100,within an hour,1,0
31,NYC Photographers Loft,165,98,60,0,2,1,2,1,0,1,4.65,81,4.6,4.7,4.7,4.8,4.7,4.5,no free cancel,0,New York,25,entire home,1,25,0,0,0,1,1,1,0,2011,373,1,0,100,within an hour,1,1
32,Room near the Empire State Building,82,0,23,0,2,1,1,1,0,0,4.27,15,4.1,4.5,4.6,4.8,4.7,4.5,no free cancel,0,New York,25,room,2,28,0,0,0,1,0,0,0,2018,237,1,0,98,within an hour,1,1
33,UNTITLED at Freeman-Cozy Studio 815,173,70,59,0,2,1,1,1,1,0,5,9,5,5,5,5,5,5,48 hours after booking,1,New York,25,entire home,1,31,0,0,0,0,0,1,0,2017,1484,1,1,100,within an hour,1,0
34,Studio w/ private entry in Fort Greene,94,63.5,42,22.88,2,1,1,1,1,1,4.72,130,4.8,4.9,4.9,5,4.9,4.8,no free cancel,0,New York,25,entire home,1,22,0,1,0,1,0,1,0,2010,345,1,1,100,within a few hours,2,2
